ID,Text,Comment
Good.Stew.PluralDisplayName,Ragoût,�
Faction.waterbeavers.DisplayName,Les Pattesblanches,2
Faction.waterbeavers.Description,"







<color=red> !!! ACTIVEZ LE TUTORIAL !!!</color>
Adeptes de la Vraie Voie du Castor, tout ce qui retient l’eau est une maison, et toute maison retient l’eau. Leur croissance démographique est incontrôlable, l’eau et la nourriture vont manquer, la science est un luxe, et votre échec inévitable

Oubliez ce que les autres factions vous ont enseigné, et embrassez ce cauchemar en rose.
<color=red> !!! ACTIVEZ LE TUTORIAL !!!</color>



<color=black>Énorme merci a Wolfess pour les peaux de castor personnalisée !
Grand merci a Thorlak pour de nombreuses icônes !
Méga-merci a Grauschweif pour les scripts intégrés !</color>",3
trashdump.DisplayName,Chariot d’expédition brisé,4
trashdump.Description,"Votre premier centre de district, si on peut l’appeller ainsi…
Ne le démantelez qu’après avoir construit un centre de district digne de ce nom.",5
trashdump.FlavorDescription,"« Impossible d’aller plus loin, mais on peut s’installer ici. »
- Le chef d’expédition",6
Luc.Primitivemine.DisplayName,Mine Primitive,7
Luc.Primitivemine.Description,Un tunnel étroit et peu efficace pour aller chercher des ressources minérales.,8
Luc.Primitivemine.FlavorDescription,« Les castors ne sont pas faits pour ça. »,9
Lapantouflemagic.Mediummine.DisplayName,Mine Moyenne,10
Lapantouflemagic.Mediummine.Description,"Une mine plus grande et plus profonde permettant d’exploiter de meilleurs gisements, et donne acces à des éléments plus rares.
Est livré avec des barrières pour éviter que les chatons un peu bêtes ne tombent dans le trou.
<color=green>Doit être placé dans un trou de profondeur 4 !
L’entrée de la mine et les barrières doivent reposer sur du sol !
La rampe d’accès est à fabriquer soi-même</color>",11
Lapantouflemagic.Mediummine.FlavorDescription,"« Je ne crois pas à vos histoires de monstres et de fantômes, et puis c’est sencé etre quoi au juste une ‘grue’ ? »
- Zork le Mineur, dernières paroles.",12
Lapantouflemagic.Primitivesmetler.DisplayName,Bas Fourneau,13
Lapantouflemagic.Primitivesmetler.Description,"Un mélange de charbon et de minerai de fer dans un creuset en argile, le tout en feu.
<color=#FF6EC7>Peut fonctionner sans travailleur dédié.</color>",14
Lapantouflemagic.Primitivesmetler.FlavorDescription,« On est sûrs de la recette au moins ? »,15
Lapantouflemagic.Woodburner.DisplayName,Charbonnier,16
Lapantouflemagic.Woodburner.Description,"Une fosse à feu dans laquelle on transforme du bois en charbon.
<color=#FF6EC7>Peut fonctionner sans travailleur dédié.</color>",17
Lapantouflemagic.Woodburner.FlavorDescription,"« Oh, ça a l’air pratique pour se débarrasser d’un cad… d’un excès de sciure...oui... »
- Jack l’Érongeur",18
Lapantouflemagic.Screwpress.DisplayName,Pressoir à Vis,19
Lapantouflemagic.Screwpress.Description,"Une puissante presse pour extraire de l’huile a partir de graines, ou préparer des jus de fruits.
<color=#00FFFF>Bâtiment étanche</color>",20
Lapantouflemagic.Screwpress.FlavorDescription,"« L’huile de tournesol, vital autant pour les machines que pour les salades »",21
Lapantouflemagic.Alchemist.DisplayName,Alchimiste,22
Lapantouflemagic.Alchemist.Description,"Un petit laboratoire pour réaliser des réactions chimiques basiques.
<color=#00FFFF>Bâtiment étanche</color>",23
Lapantouflemagic.Alchemist.FlavorDescription,« Espérons que ça n’explose pas »,24
Lapantouflemagic.Handicrafter.DisplayName,Loge d’artisan,25
Lapantouflemagic.Handicrafter.FlavorDescription,« Du moment qu’on en a pas besoin de beaucoup... »,26
Lapantouflemagic.Copistlodge.DisplayName,Loge de Copiste,27
Lapantouflemagic.Copistlodge.Description,"Une maison citadine dans laquelle on copie les plans.
<color=#00FFFF>Bâtiment étanche</color>",28
Lapantouflemagic.Copistlodge.FlavorDescription,"« La première étape de mon travail, c’est d’effacer toutes ces décorations à la noix »
- Le castor copiste",29
Lapantouflemagic.Artsylodge.DisplayName,Loge d’Artiste,30
Lapantouflemagic.Artsylodge.Description,"Une maison citadine dans laquelle on embelli les copies de plans.
<color=#00FFFF>Bâtiment étanche</color>",31
