ID,Text,Comment
Good.Stew.PluralDisplayName,炖菜,�
Faction.waterbeavers.DisplayName,白爪,2
Faction.waterbeavers.Description,"
海狸的另一只强大分支
对于他们来说,任何建筑里都能睡觉。他们对人口、食物和水的把控不足，科学发展变得十分艰难缓慢,即使这样也没有阻止他们前进的步伐。
<color=red>其他分支的经验在这里几乎没用
<color=green>汉化:刘大胖</color>",3
trashdump.DisplayName,损坏的探险车,4
trashdump.Description,仅在建造另一个市中心后才能拆除探险车.,5
trashdump.FlavorDescription,"""不能再往前走了，但可以在这里安顿下来""
 -探险队队长",6
Luc.Primitivemine.DisplayName,小型矿山,7
Luc.Primitivemine.Description,"获取矿产资源的一种小而低效的方式
<color=green>需要2米高墙壁</color>",8
Luc.Primitivemine.FlavorDescription,"""海狸不是用来挖石头的""",9
Lapantouflemagic.Mediummine.DisplayName,中型矿山,10
Lapantouflemagic.Mediummine.Description,"一个更大、更深的矿山，可以开采更丰富的矿床，也可以开采更稀有的元素.配有通道楼梯和障碍物，防止愚蠢的小海狸掉落和受伤
<color=green>需要4米高墙壁 !</color>",11
Lapantouflemagic.Mediummine.FlavorDescription,"""我不相信鬼魂和怪物，那到底什么才可怕?""
-矿工佐克, 遗言",12
Lapantouflemagic.Primitivesmetler.DisplayName,初级熔炉,13
Lapantouflemagic.Primitivesmetler.Description,熔炼铁和碳的混合物,14
Lapantouflemagic.Primitivesmetler.FlavorDescription,"""我们真的有把握么 ?""",15
Lapantouflemagic.Woodburner.DisplayName,木炭炉,16
Lapantouflemagic.Woodburner.Description,把木头变成木炭的特殊火坑,17
Lapantouflemagic.Woodburner.FlavorDescription,"""哦，那将是摆脱。。。嗯。。。锯末是的，木屑。。。当然""
-侏儒杰克",18
Lapantouflemagic.Screwpress.DisplayName,压榨机,19
Lapantouflemagic.Screwpress.Description,"从葵花籽中提取油的强力压榨机
<color=#00FFFF>防水建筑</color>",20
Lapantouflemagic.Screwpress.FlavorDescription,"""葵花油,沙拉,机器必备""",21
Lapantouflemagic.Alchemist.DisplayName,炼金小屋,22
Lapantouflemagic.Alchemist.Description,"基本化学反应实验室
<color=#00FFFF>防水建筑</color>",23
Lapantouflemagic.Alchemist.FlavorDescription,"""希望它不会爆炸""",24
Lapantouflemagic.Handicrafter.DisplayName,手工小屋,25
Lapantouflemagic.Handicrafter.FlavorDescription,"""只要我们不需要太多.....""",26
Lapantouflemagic.Copistlodge.DisplayName,抄写小屋,27
Lapantouflemagic.Copistlodge.Description,"重新抄写现有蓝图的小屋
<color=#00FFFF>防水建筑</color>",28
Lapantouflemagic.Copistlodge.FlavorDescription,"""所以我工作的第一部分是---这些可笑的装饰?""
-抄写员",29
Lapantouflemagic.Artsylodge.DisplayName,艺术家小屋,30
Lapantouflemagic.Artsylodge.Description,"仿造蓝图的城市型房屋
<color=#00FFFF>防水建筑</color>",31
Lapantouflemagic.Artsylodge.FlavorDescription,"""是的，这些蓝图一定很好看才能用""
-艺术家比弗",32
Lapantouflemagic.Builderslodge.DisplayName,建筑工宿舍,33
Lapantouflemagic.Builderslodge.Description,"可容纳2名建造工人
<color=#00FFFF>防水建筑</color>",34
Lapantouflemagic.Builderslodge.FlavorDescription,"""终于有自己的住宅了 !""",35
Lapantouflemagic.ScrollRack.DisplayName,卷轴架,36
Lapantouflemagic.ScrollRack.Description,"储存珍贵蓝图
<color=green>必须建造在图书馆内 !</color>
忽略建造位置指示箭头.
<color=red>摧毁建筑会删除内部库存</color>",37
Lapantouflemagic.ScrollRack.FlavorDescription,"""蓝图才是最好的书籍!""
-傻子鲍比",38
Luc.LibraryOffice.DisplayName,图书馆,39
Luc.LibraryOffice.FlavorDescription,"""这些书都要手抄么?""
-奇怪的图书馆员口头禅?"",40
Luc.Lodge.Description,""一个小屋.
<color=#00FFFF>防水建筑</color>",41
Lapantouflemagic.primitivedam.DisplayName,初级堤坝,42
Lapantouflemagic.primitivedam.Description,改良于原始海狸建筑,43
Lapantouflemagic.primitivedamupgrade.DisplayName,初级堤坝改造,44
Lapantouflemagic.primitivedamupgrade.Description,加高初级堤坝,45
Lapantouflemagic.primitivedamupgrade.FlavorDescription,"""也许我们能靠这个活下去""",46
Lapantouflemagic.primitivedamUtility.DisplayName,高级堤坝,47
Lapantouflemagic.primitivedamUtility.Description,"十字型堤坝,允许海狸通行,并可以传送动力.",48
Lapantouflemagic.primitivedamUtility.FlavorDescription,相当方便!,49
Lapantouflemagic.LogstairsWB.DisplayName,原木楼梯,50
Lapantouflemagic.logstairsWB.DisplayName,棕色原木楼梯,51
Lapantouflemagic.BirchlogstairsWB.DisplayName,桦木楼梯,52
Lapantouflemagic.ScramblelogstairsWB.DisplayName,多彩楼梯,53
Lapantouflemagic.logstairsWB.Description,一堆原木堆积成的楼梯.,54
Lapantouflemagic.logstairsWB.FlavorDescription,"""或许<i>这就是我们需要学习的原因</i>"" 
-科学家海狸",55
Lapantouflemagic.CrappyplatformWB.DisplayName,平台,56
Lapantouflemagic.CrappyplatformWB_brown.DisplayName,棕色平台,57
