ID,Text,Comment
Faction.Emberpelts.DisplayName,Pellicce di Fuoco,Name of a faction
Faction.Emberpelts.Description,"Le Pellicce di Fuoco hanno un'affinità con il colore rosso, e amano stare al caldo. A volte gli piace semplicemente guardare le cose che bruciano.
Non gli piace bagnarsi il pelo.
Il loro motto: <i>Cuori di fuoco.</i>",Description of a beaver faction
Bot.DisplayName.Emberpelts,Fuocobot {0},Bot name
Good.Brick.DisplayName,Mattone,Item Name
Good.Brick.PluralDisplayName,Mattoni,Plural Item Name
Good.Clay.DisplayName,Argilla,Item Name
Good.Clay.PluralDisplayName,Argilla,Plural Item Name
Good.Coal.DisplayName,Carbone,Item Name
Good.Coal.PluralDisplayName,Carbone,Plural Item Name
Good.Apple.DisplayName,Mela,Item Name
Good.Apple.PluralDisplayName,Mele,Plural Item Name
Good.AppleJuice.DisplayName,Succo di mela,Item Name
Good.AppleJuice.PluralDisplayName,Succo di mela,Plural Item Name
Good.Radish.DisplayName,Ravanello,
Good.Radish.PluralDisplayName,Ravanelli,
Good.Tomato.DisplayName,Pomodoro,
Good.Tomato.PluralDisplayName,Pomodori,
Good.TomatoJuice.DisplayName,Succo di pomodoro,
Good.TomatoJuice.PluralDisplayName,Succo di pomodoro,
Good.Beetroot.DisplayName,Barbabietola,
Good.Beetroot.PluralDisplayName,Barbabietole,
Good.RedJuice.DisplayName,Succo di barbabietola e ravanello,
Good.RedJuice.PluralDisplayName,Succo di barbabietola e ravanello,
Good.CornJuice.DisplayName,Succo di mais,
Good.CornJuice.PluralDisplayName,Succo di mais,
Good.Pepper.DisplayName,Peperone,
Good.Pepper.PluralDisplayName,Peperoni,
Good.Cornmeal.DisplayName,Farina di mais,
Good.Cornmeal.PluralDisplayName,Farina di mais,
Good.GrilledCorn.DisplayName,Mais grigliato,
Good.GrilledCorn.PluralDisplayName,Mais grigliato,
Good.GrilledPepper.DisplayName,Peperone grigliato,
Good.GrilledPepper.PluralDisplayName,Peperoni grigliate,
Good.ApplePie.DisplayName,Torta di mele,
Good.ApplePie.PluralDisplayName,Torte di mele,
Good.Cornbread.DisplayName,Pane di mais,
Good.Cornbread.PluralDisplayName,Pane di mais,
Good.BakedBeetroot.DisplayName,Barbabietola al forno,
Good.BakedBeetroot.PluralDisplayName,Barbabietole al forno,
Good.StuffedPepper.DisplayName,Peperone ripieno,
Good.StuffedPepper.PluralDisplayName,Peperoni ripieni,
Good.Fuel.DisplayName,Carburante,
Good.Fuel.PluralDisplayName,Carburante,
Good.Lubricant.DisplayName,Lubrificante,
Good.Lubricant.PluralDisplayName,Lubrificante,
Manufactory.Recipe.FuelRadish,Carburante (Ravanelli),
Manufactory.Recipe.FuelBeetroot,Carburante (Barbabietole),
Manufactory.Recipe.FuelCanola,Carburante (Semi di colza),
Manufactory.Recipe.FuelCorn,Carburante (Mais),
Manufactory.Recipe.FuelBadwater,Carburante (Malacqua),
Building.HalfRoof1x1.DisplayName,Mezzo tetto 1x1,
Building.HalfRoof1x2.DisplayName,Mezzo tetto 1x2,
Building.HalfRoof2x1.DisplayName,Mezzo tetto 2x1,
Building.HalfRoof2x2.DisplayName,Mezzo tetto 2x2,
Building.Lodge.Emberpelts.FlavorDescription,Un capanno è solo un capanno.,
Building.BigLodge.DisplayName,Capanno grande,
Building.BigLodge.Description,Grande il triplo di un capanno.,
Building.BigLodge.FlavorDescription,Un sacco di spazio.,
Building.VerticalLodge.DisplayName,Capanno verticale,
Building.VerticalLodge.Description,Un capanno costruito in altezza,
Building.VerticalLodge.FlavorDescription,Il cielo è il limite!,
Building.DoubleVerticalLodge.DisplayName,Capanno verticale doppio,
Building.DoubleVerticalLodge.Description,E' come se fossero due uno sopra l'altro.,
Building.DoubleVerticalLodge.FlavorDescription,Più grande! Più alto!,
Building.TenementLodge.DisplayName,Capanno popolare,
Building.TenementLodge.Description,Un posto molto alto e largo per passare la notte.,
Building.TenementLodge.FlavorDescription,Cerca di non dare fuoco a nulla.,
Building.Press.DisplayName,Frantoio,
Building.Press.Description,Spreme olio o succo dalle piante che possono produrlo,
Building.Press.FlavorDescription,"I cuccioli più curiosi lo usano per schiacciare di tutto, dai biscotti alle pigne.",
Building.Path2.DisplayName,Strada con ringhiere,
Building.Path2.Description,"Questa versione della strada ha sempre le ringhiere.",
Building.Path3.DisplayName,Strada di legno,
Building.Path3.Description,"Questa versione della strada è fatta di legno.",
Building.Path4.DisplayName,Strada di legno senza ringhiere,
Building.Path4.Description,"Questa versione della strada è fatta di legno e non ha mai le ringhiere.",
Building.Path5.DisplayName,Strada di legno con ringhiere,
Building.Path5.Description,"Questa versione della strada è fatta di legno e ha sempre le ringhiere.",
Building.AutomatedWaterPump.DisplayName,Pompa d'acqua automatica,
Building.AutomatedWaterPump.FlavorDescription,Non sono richiesti castori!,
Building.ClayPit.DisplayName,Cava d'Argilla,
Building.ClayPit.Description,Una cava da cui estrarre l'Argilla,
Building.ClayPit.FlavorDescription,E' un lavoro sporco.,
Building.Kiln.DisplayName,Fornace,
Building.Kiln.Description,Produce Carbone dai Tronchi e Mattoni dall'Argilla.,
Building.Kiln.FlavorDescription,Brucia!,
Building.SmallEngine.DisplayName,Motore piccolo,
Building.SmallEngine.FlavorDescription,"Una grande invenzione, i Denti di Ferro probabilmente hanno copiato il nostro progetto.",
Building.Engine.Emberpelts.FlavorDescription,"Bruciare carbone richiede un progetto più avanzato.",
