ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Автоматизація,
Calloatti.AutoTools.DeviceState,Стан пристрою,
Calloatti.AutoTools.InputTransmitter,Вхід: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Відкрити вкладку автоматизації,
Calloatti.AutoTools.KeyBind.Toggle.Map,Перемкнути карту автоматизації,
Calloatti.AutoTools.MapState.Global,Карта автоматизації: ГЛОБАЛЬНА,
Calloatti.AutoTools.MapState.Off,Карта автоматизації: ВИМК,
Calloatti.AutoTools.MapState.Partition,Карта автоматизації: РОЗДІЛ,
Calloatti.AutoTools.MoveConnections.ToolDescription,Виберіть цільову будівлю для переміщення з'єднань.,
Calloatti.AutoTools.MoveConnections.Tooltip,Перемістити з'єднання,
Calloatti.AutoTools.NetworkConflict,Конфлікт мережі / Виявлено нескінченний цикл!,
Calloatti.AutoTools.NetworkIdHeader,ID мережі: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Вихідна передача,
Calloatti.AutoTools.PartitionInfo,ID розділу: {0} | Елементи: {1},
Calloatti.AutoTools.UnknownBuilding,Невідома будівля,
Calloatti.AutoTools.Unpartitioned,Нерозділений,
Calloatti.AutoTools.Usages,Використання,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Висота з'єднання,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Регулює, де лінії з'єднуються з будівлями (0.0 — низ, 0.5 — середина, 1.0 — верх)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Прозорість світіння (Альфа),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Встановлює непрозорість світіння ліній (0.0 — повністю невидимо, 1.0 — повністю непрозоро)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Товщина лінії світіння,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Керує товщиною світіння ліній з'єднань,
Calloatti.Config.AutoTools.MapDisplayState.Label,Режим відображення карти,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Керує відображенням карти мережі автоматизації (Приховано, Одинарна вибрана мережа або Глобальна)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Яскравість у вимкненому стані,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,"Регулює яскравість ліній з'єднань, коли автоматизатор вимкнено або неактивно",
KeyBindingGroup.Calloatti.AutoTools,Інструменти автоматизації,
