ID,Text,Comment
Good.Stew.PluralDisplayName,シチュー,-
Faction.waterbeavers.DisplayName,ホワイトパウズ,直訳で白い肉球
Faction.waterbeavers.Description,真のビーバー道の信奉者である彼らにとっては、すべてが家である。\r\n彼らは制御不能な人口爆発を起こし、食料と水が不足し、科学研究が苦手なので、しばしば全滅する。\r\nようこそピンクの悪夢へ。\r\n<color=red>開始地点の近くに松の木、幅2以上かつ高低差2の崖または金属スクラップがあるマップを推奨します。</color>,-
Luc.TESTHOUSE.DisplayName,TESTHOUSE,-
Luc.TESTHOUSE.Description,FUCK !,-
Luc.TESTHOUSE.FlavorDescription,"""SHIT !"" \r\n—An architect beaver",-
trashdump.DisplayName,壊れた荷車,-
trashdump.Description,最初の地区の中心、的なもの。上位の地区の中心を建設した後に解体して発展に必要なアイテムを取り出せる。,-
trashdump.FlavorDescription,「これ以上先に進めなくても、ここに住むことはできる。」—探検隊長,-
Luc.Primitivemine.DisplayName,原始的な鉱山,-
Luc.Primitivemine.Description,鉱石を掘るための小さくて非効率的な坑道。\r\n<color=green>高低差が2の断崖に立地する必要がある。</color>,-
Luc.Primitivemine.FlavorDescription,「ビーバーはね……岩なんか掘らないんだよ。」,マキマさん構文。
Lapantouflemagic.Mediummine.DisplayName,中規模の鉱山,-
Lapantouflemagic.Mediummine.Description,より大きくて深い坑道は豊かな鉱脈まで届き、希少な鉱石を掘ることができる。\r\n地下に降りるための階段と、子供が転落して怪我しないための柵も設計されている。\r\n\r\n<color=green>深さ4の穴の中にしか建造できない。\r\n底部と柵が地面の上になければ建造できない。\r\n階段を使用して鉱山入り口と地区の中心を繋げる。</color>,-
Lapantouflemagic.Mediummine.FlavorDescription,「お化けとか化け物なんて嘘さ。そもそもグルーって何？」—鉱夫の最期の言葉,-
Lapantouflemagic.Primitivesmetler.DisplayName,原始的な製錬所,-
Lapantouflemagic.Primitivesmetler.Description,粘土のるつぼに石炭と鉄鉱石を入れて着火する。,-
Lapantouflemagic.Primitivesmetler.FlavorDescription,「本当にこれで良いのか？」,-
Lapantouflemagic.Woodburner.DisplayName,炭焼き窯,-
Lapantouflemagic.Woodburner.Description,木材を不完全燃焼させて木炭を製造する。,-
Lapantouflemagic.Woodburner.FlavorDescription,「死体…じゃなかった、おがくずを処分するのに役立つ。」—桐かじジャック,Jack the Gnawerは切り裂きジャックのもじりで、「おがくず」と誤魔化した死体を処分しようとしている。
Lapantouflemagic.Screwpress.DisplayName,圧搾機,-
Lapantouflemagic.Screwpress.Description,向日葵の種から油を抽出する強力なプレス機。,-
Lapantouflemagic.Screwpress.FlavorDescription,「私はひまわり油のような存在です。サラダにも歯車にも欠かせません。」,-
Lapantouflemagic.Alchemist.DisplayName,錬金術工房,-
Lapantouflemagic.Alchemist.Description,基本的な化学器具を備えた実験室。\r\n<color=#00FFFF>水を通さない建物</color>,Watertight=水密性がある　わかりやすさ優先で水を通さない建物とする
Lapantouflemagic.Alchemist.FlavorDescription,爆発しませんように。,-
Lapantouflemagic.Handicrafter.DisplayName,手工芸作業場,-
Lapantouflemagic.Handicrafter.FlavorDescription,需要が少ない限りはこれで充分…。,-
Lapantouflemagic.Copistlodge.DisplayName,写本作業場,-
Lapantouflemagic.Copistlodge.Description,既存の設計図を筆写するための町工場。\r\n<color=#00FFFF>水を通さない建物</color>,-
Lapantouflemagic.Copistlodge.FlavorDescription,「さて、仕事を始めるか。まずはこの派手な飾りを取っ払うところから。」—写本師ビーバー,-
Lapantouflemagic.Artsylodge.DisplayName,芸術家のアトリエ,-
Lapantouflemagic.Artsylodge.Description,設計図に落書きをする作業場。\r\n<color=#00FFFF>水を通さない建物</color>,-
Lapantouflemagic.Artsylodge.FlavorDescription,「設計図には派手な飾りをたくさん盛り込まないと。」—芸術家ビーバー,-
Lapantouflemagic.Builderslodge.DisplayName,建設作業員の小屋,-
Lapantouflemagic.Builderslodge.Description,より多くの建設作業員を雇う。\r\n<color=#00FFFF>水を通さない建物</color>,-
Lapantouflemagic.Builderslodge.FlavorDescription,「ついに自分だけの空間が手に入った！」,-
Lapantouflemagic.ScrollRack.DisplayName,巻物棚,-
Lapantouflemagic.ScrollRack.Description,貴重な設計図を保管する。\r\n<color=green>図書館</color><color=RED>の中に</color><color=green> 設置する。</color>\r\n設置時の矢印は無視してください。\r\n<color=red>解体すると中身は失われる。</color>,-
Lapantouflemagic.ScrollRack.FlavorDescription,「設計図おいしい！設計図おいしい！」—愚かなビーバー,-
Luc.LibraryOffice.DisplayName,図書カウンター,-
Luc.LibraryOffice.FlavorDescription,「一人でこの本全部書き写せって言うの？手で！？」—司書の奇妙な口癖,-
Luc.Lodge.Description,運搬員を雇う小さな家。\r\n<color=#00FFFF>水を通さない建物</color>,-
Lapantouflemagic.primitivedam.DisplayName,原始的なダム,-
Lapantouflemagic.primitivedam.Description,ご先祖さんが使っていたような、半分水を堰き止めるダム。,-
Lapantouflemagic.primitivedamupgrade.DisplayName,原始的なダム（アップグレード）,-
Lapantouflemagic.primitivedamupgrade.Description,原始的なダムの上に建てる背の高いダム。,-
Lapantouflemagic.primitivedamupgrade.FlavorDescription,「これで生き残れるかも知れない。」,-
Lapantouflemagic.primitivedamUtility.DisplayName,万能ダム,-
Lapantouflemagic.primitivedamUtility.Description,一方はビーバーが通れるトンネルがあり、もう一方にパワーシャフトを内蔵した十字形のダム。,-
Lapantouflemagic.primitivedamUtility.FlavorDescription,めちゃ便利！,-
Lapantouflemagic.LogstairsWB.DisplayName,丸太階段,-
Lapantouflemagic.logstairsWB.DisplayName,茶色の丸太階段,-
Lapantouflemagic.BirchlogstairsWB.DisplayName,カバノキの丸太階段,-
Lapantouflemagic.ScramblelogstairsWB.DisplayName,カラフルな丸太階段,-
Lapantouflemagic.logstairsWB.Description,丸太を束ねて作っただけの原始的な階段。,-
Lapantouflemagic.logstairsWB.FlavorDescription,「であるからして、<i>これ</i>こそ教育が欠かせない理由です。」—知識人のビーバー,-
Lapantouflemagic.CrappyplatformWB.DisplayName,粗末な足場,-
Lapantouflemagic.CrappyplatformWB_brown.DisplayName,茶色の粗末な足場,-
Lapantouflemagic.CrappyplatformWB_birch.DisplayName,カバノキの粗末な足場,-
Lapantouflemagic.CrappyplatformWB_scramble.DisplayName,カラフルで粗末な足場,-
Lapantouflemagic.CrappyplatformWB.Description,ビーバー界の面汚しである、しょぼい足場。,-
Lapantouflemagic.CrappyplatformWB.FlavorDescription,「以上より、<i>これも</i>教育が欠かせない理由です。」—知識人のビーバー,-
Luc.crappyWaterWheel.DisplayName,粗末な水車,-
Luc.crappyWaterWheel.Description,お粗末だが簡単に作れる水車。,-
Luc.crappyWaterWheel.FlavorDescription,「摩擦で火がつかないのが不思議なくらいだ！」—錬金術師のビーバー,-
Lapantouflemagic.Crappywindmill3.DisplayName,粗末な風車　高度3,-
Lapantouflemagic.Crappywindmill3.Description,標高が低いせいで、みじめな馬力しか生み出せない小型風車。\r\n地面から<color=red>高度3</color>以上にしか設置できない。,-
Lapantouflemagic.Crappywindmill3.FlavorDescription,「なんだこりゃ？我々は『ウォータービーバー』であって、『ウィンドビーバー』ではない。」—探検隊長,-
Lapantouflemagic.Crappywindmill6.DisplayName,粗末な風車　高度6,-
Lapantouflemagic.Crappywindmill6.Description,それなりに標高があるおかげで、まずまずの馬力を生み出す小型風車。\r\n地面から<color=red>高度6</color>以上にしか設置できない。,-
Lapantouflemagic.Crappywindmill6.FlavorDescription,「言ったよな？我々は『ウォータービーバー』であって、『ウィンドビーバー』ではない。」—探検隊長,-
Lapantouflemagic.Crappywindmill9.DisplayName,粗末な風車　高度9,-
Lapantouflemagic.Crappywindmill9.Description,標高が高いおかげで、結構な馬力を生み出す小型風車。\r\n地面から<color=red>高度9</color>以上にしか設置できない。,-
Lapantouflemagic.Crappywindmill9.FlavorDescription,「何度も同じことを言わせるな。嫌がらせか？」—探検隊長,-
Lapantouflemagic.Crappywindmill12.DisplayName,粗末な風車　高度12,-
Lapantouflemagic.Crappywindmill12.Description,標高がかなり高いおかげで、相当な馬力を生み出す小型風車。\r\n地面から<color=red>高度12</color>以上にしか設置できない。,-
Lapantouflemagic.Crappywindmill12.FlavorDescription,「この異端分子め！」—探検隊長,-
Luc.Reinforcedplatform.DisplayName,強化された足場,-
Luc.Reinforcedplatform.Description,重いものを支えるために金属で補強された足場。\r\n<color=red>水を通さない性質を持つ建物を上に建てないでください。</color>,-
Luc.Reinforcedplatform.FlavorDescription,「この構造物はどういう訳か現実を歪めて水が上を流れるようにできる。あり得ない！」—知識人のビーバー,-
Luc.flatbridgehouse.DisplayName,橋渡しの小屋,-
Luc.flatbridgehouse.Description,運搬員として働く2世帯のための大きな家。\r\n家の角の部分だけ支えが必要。\r\n<color=green>実際に通行が可能。</color>\r\n<color=red>この建物は水を通す！</color>,-
Luc.flatbridgehouse.FlavorDescription,「まさか折れたりしないだろう。」—建築士のビーバー,-
Luc.watertightfamilystore.DisplayName,Watertight family store,未使用？
Luc.watertightfamilystore.Description,「つまり、大きくて平たいものが欲しかったという事でよろしいでしょうか？」—技術者ビーバー,未使用？
Luc.watertightfamilystore.FlavorDescription,watertight family store,未使用？
Luc.watertightlodge.DisplayName,水密性の長いロッジ,-
Luc.watertightlodge.Description,たくさんのビーバーが住める、水を堰き止める巨大な家。\r\n<color=#00FFFF>水を通さない建物</color>,-
Luc.watertightlodge.FlavorDescription,「しっかりとしたダムの土台だ。」—建設作業員のビーバー,-
Lapantouflemagic.doublewatertightlodge.DisplayName,水密性の2階建てロッジ,-
Lapantouflemagic.doublewatertightlodge.Description,1世帯が住める、水を堰き止める中くらいの家。\r\n<color=green>小さな配給拠点として機能する。</color>\r\n<color=#00FFFF>水を通さない建物</color>,-
Lapantouflemagic.doublewatertightlodgeBottom.Description,2世帯が住める、水を堰き止める中くらいの家。\r\n<color=green>運搬員を2人</color>雇う。\r\n<color=#00FFFF>水を通さない建物</color>\r\n,-
Lapantouflemagic.doublewatertightlodge.FlavorDescription,「そんなに大勢を養えるんですかねえ？」—農民ビーバー,-
Lapantouflemagic.triplewatertightlodge.DisplayName,水密性のトリプルロッジ,-
Lapantouflemagic.triplewatertightlodge.Description,2世帯が住める、水を堰き止める大きな家。\r\n<color=green>小さな配給拠点として機能する。</color>\r\n<color=#00FFFF>水を通さない建物</color>,-
Lapantouflemagic.triplewatertightlodge.FlavorDescription,「あたしらの人口は肉球に負えなくなっているんじゃありませんか。」—農民ビーバー,-
Lapantouflemagic.triplewatertightlodgeBottom.DisplayName,水密性のトリプルロッジ,-
Lapantouflemagic.triplewatertightlodgeBottom.Description,<color=green>運搬員</color>として働く2世帯が住める、水を堰き止める大きな家。\r\n<color=#00FFFF>水を通さない建物</color>,-
Lapantouflemagic.triplewatertightlodgeBottom.FlavorDescription,「あたしらの人口は肉球に負えなくなっているんじゃありませんか。」—農民ビーバー,-
Luc.cornerwatertightlodge.DisplayName,水密性のコーナー用ロッジ,-
Luc.cornerwatertightlodge.Description,3世帯が住める、水を堰き止めるためにかなり大きく設計された家。\r\n<color=green>運搬員を6人</color>雇う。\r\n<color=#00FFFF>水を通さない建物</color>,-
Luc.cornerwatertightlodge.FlavorDescription,「誰がこんなの考えたんだい。」—農民ビーバー,-
Luc.megacornerwatertighthouse.DisplayName,水密性の大きなコーナー用ロッジ,-
Luc.megacornerwatertighthouse.Description,5世帯が住める、水を堰き止めるために見ていて不安になるくらい巨大に設計された家。\r\n<color=green>運搬員を6人</color>雇う。\r\n<color=#00FFFF>水を通さない建物</color>,-
Luc.megacornerwatertighthouse.FlavorDescription,「何をしでかしたんです？」—海狸家族計画協会,-
Luc.Gnawingtent.DisplayName,丸太かじり場,-
Luc.Gnawingtent.Description,丸太をかじって加工する原始的で非効率的な製材所。,-
Luc.Gnawingtent.FlavorDescription,「もっと良いやり方を考えないと……」—歯科医のビーバー,-
Luc.primitiveironworks.DisplayName,原始的な製鉄所,-
Luc.primitiveironworks.Description,金属を成形するための辛うじて鉄工所と呼べる代物。,-
Luc.primitiveironworks.FlavorDescription,「歯で金属を噛むのを想像してみ？」,-
Luc.primitivepapermill.DisplayName,原始的な製紙工場,-
Luc.primitivepapermill.Description,古くから伝わるやり方で紙を作る。,-
Luc.primitivepapermill.FlavorDescription,「スープに見える。」—狂気の料理人マチルダ,-
Luc.sawmill.DisplayName,初歩的な製材所,-
Luc.sawmill.Description,粗末なのこぎりを使用した動力式製材所で、生産性は改善されたが金属製のこぎりを消費する。\r\n<color=#00FFFF>水を通さない建物</color>,-
Luc.sawmill.FlavorDescription,「この新技術は凄いけど、刃が折れて誰か怪我しないか心配。」—母さんビーバー,-
Luc.largefarmhouse.DisplayName,大きな農場,-
Luc.largefarmhouse.Description,たくさんのビーバーがより効率的に働くための共同農家。\r\n<color=red>カボチャのみ植えられる。</color>\r\nドーナツ型ロッジの上に建てて接続できる。\r\n<color=#00FFFF>水を通さないように改装可能</color>,-
Luc.largefarmhouse.FlavorDescription,「これじゃあまるで…共産主義じゃな。」—婆さんビーバー,-
Lapantouflemagic.Mushroomtent.DisplayName,キノコ栽培テント,-
Lapantouflemagic.Mushroomtent.Description,原木やおがくずからキノコを栽培するテント。,-
Lapantouflemagic.Mushroomtent.FlavorDescription,「この赤と白のキノコ美味そう。食べちゃえ」—愚かなビーバーの最期の言葉,-
Lapantouflemagic.Cookingtent.DisplayName,調理テント,-
Lapantouflemagic.Cookingtent.Description,シチューを作る小さな野外キッチン。,-
Lapantouflemagic.Cookingtent.FlavorDescription,「中に何を入れようかな。天の神様の言う通り！」—狂気の料理人マチルダ,-
Luc.IndustrialKitchen.DisplayName,機械化調理場,-
Luc.IndustrialKitchen.Description,街全体を養えるほど大きな機械化キッチン。\r\n<color=#00FFFF>水を通さない建物</color>,-
Luc.IndustrialKitchen.FlavorDescription,「言い伝えによれば、ある日一人の料理人が行方をくらまし、二度と見つからなかったという。」,-
Luc.Library.DisplayName,図書館,-
